levels_id,company_name
100,L3
101,SE 2
102,L7
103,M1
104,60
105,63
106,65
107,62
108,59
109,9
110,Sde 2
111,L6
112,L5
113,E3
114,5a
115,L4
116,64
117,IC4
118,67
119,Ict3
120,T6
121,Senior Software Engineer
122,ICT2
123,ICT3
124,Senior
125,66
126,69
127,Senior Software Engineer 2 (5b)
128,Senior Member of Technical Staff
129,IC2
130,Lead MTS
131,E4
132,Software Engineer
133,5
134,SDE 3
135,Director
136,Staff
137,ICT5
138,ICT - 5
139,L8
140,Senior Principal
141,ICT4
142,E6
143,Senior Software Engineer I
144,E5
145,G6
146,61
147,T3
148,T5
149,L2
150,Product Manager
151,Software Engineer 3
152,New Grad
153,T2
154,T4PF
155,6
156,4
157,MTS 3
158,Software engineer
159,T7
160,G03
161,LMTS
162,IC3
163,SDE II
164,L2 (new grad)
165,Staff Engineer II
166,Ic5
167,Software Engineer(SWE)
168,MTS1
169,7
170,Non-senior
171,IC5
172,Research Scientist
173,27
174,L7 Principal
175,senior
176,New Grad (ICT2)
177,e6
178,Grade 11
179,Staff Engineer
180,Senior (P3)
181,SDE II (61)
182,MTS 1
183,Senior SDE
184,Swe2
185,Senior staff
186,Principal Software Engineer
187,Senior Engineer O
188,T4
189,Sr
190,Data Scientist Manager
191,IC-4
192,ICT 3
193,2
194,L5 / SDE2
195,SDEII
196,L6 - SDE3 - Senior Engineer
197,IC6
198,SE1
199,Senior Product Manager
200,MTS
201,Senior Director - I Band
202,Mid
203,Principal engineer
204,Staff (Grade 8)
205,ICT 2
206,L66
207,16
208,Sr MTS
209,SDE III (L6)
210,SE2
211,Senior manager
212,Grade 7
213,SWE 2
214,ICT-4
215,Senior Software Engineer P4
216,L60
217,P4
218,Senior Engineer
219,Senior SW QA
220,Senior Developer
221,l7
222,Principal software engineer
223,Group Product Manager
224,SDE 2 / 61
225,L20
226,G8
227,MTS 2
228,"Mid-grade (of Jr, Mid, Sr)"
229,M3
230,Senior Staff Engineer
231,P2
232,11
233,10
234,Grade 10
235,Engineer
236,SDE 2
237,Principal
238,Senior PM
239,P3
240,Associate Offering Manager (Band 6)
241,Senior SWE
242,26
243,Band 6
244,Product Owner
245,SE 3
246,G18
247,18
248,G16
249,Senior MTS
250,L62
251,Staff Software Engineer
252,L10
253,14
254,M2
255,L1
256,Software Engineer 4
257,senior associate
258,Graduate Software Developer
259,SWE II
260,P5
261,Band 8
262,Sr Staff
263,II
264,68
265,G14
266,E2
267,Grade 8
268,8
269,G15
270,STSM
271,STAFF ENGINEER
272,L63
273,Principal MTS
274,Ic3
275,MTS(member of technical staff)
276,Distinguished Engineer
277,SWE 1
278,Senior Manager
279,Grade 6
280,Senior Associate
281,3
282,Lead Software Engineer
283,L6 PM
284,Group PM
285,L59
286,Ict4
287,Grade 12
288,Band 4
289,P4 Senior
290,Software Engineering Manager
291,Master software engineer
292,C E40
293,Senior Software Engineer II
294,Software Engineer II
295,SDE 4
296,Senior Staff
297,SWE III
298,Technical Leader 2
299,Software Engineer 2
300,SWE 3
301,Senior Software Eng
302,M6
303,Associate Engineer
304,IC-5
305,32
306,SDE I
307,Analyst
308,Principal Associate
309,Product Engineer 3
310,Associate Software Eng
311,L
312,Grade 3
313,Associate Senior Data Scientist
314,SDE
315,L4.5
316,L6 SDM
317,Amts
318,Staff SWE
319,Principal Engineer
320,Senior Principal Engineer
321,L61
322,l5
323,Software Engineer III
324,E7
325,Principal Software Engineering Manager
326,SDE III
327,senior software engineer II
328,Architect
329,L4 Product Manager
330,senior software engineer
331,Senior Program Manager
332,Junior
333,Staff engineer
334,Vp
335,Software Engineering Specialist
336,L5 SDM
337,Band 7
338,Program manager
339,Staff PM
340,Principal Product Manager
341,Software Engineer (SWE)
342,Grade 9
343,staff engineer
344,User experience designer
345,senior engineer
346,L7 Product Manager
347,P1
348,L5A
349,L5b
350,5b
351,Engineering Manager
352,Staff Product Manager
353,
354,App Sys Engineer 1
355,Level 3
356,Mid Level
357,Band 5
358,Senior Lead Software
359,Application Development Manager
360,Solution Analyst
361,Sr engineering manager
362,Software Engineer 10
363,Developer
364,Developer 5
365,Entry
366,Associate
367,PM 2
368,1
369,Senior Product Manger III
370,O4
371,Sr. Engineering Manager
372,Manager
373,P6
374,Idk
375,Lead Engg
376,Senior Technical Director
377,Lead Infra Engg
378,Vic
379,Computer Scientist I
380,MTS II
381,Only one level across Netflix
382,Principal Engineer Manager
383,Staff Engineer 1
384,Assistant Vice-President
385,Senior Director
386,VP
387,Associate Product Manager 1
388,l4
389,Senior SDM
390,L5 Product Manager
391,Senior SE 1
392,12
393,Senior Squad Step
394,Staff Engineer 2
395,l2
396,M5
397,Associate Software Engineer
398,AMTS
399,Sr staff
400,T28
401,Lead SWE
402,Lead
403,Grade 5
404,Senior product manager
405,Principal PM
406,Principal SWE
407,Product Manager II
408,M
409,Associate MTS
410,Technical Leader 1
411,Senior Designer
412,MTS4
413,Sr. MTS
414,Software Engineer IV
415,Senior Principal SWE
416,Software Engineer 1
417,L64
418,M10
419,SMTS
420,sde2
421,VP-H
422,Sr. Director
423,EM30
424,E1
425,Level 5
426,Associate Member of Technical Staff
427,H
428,Vice President
429,SDE 1
430,PM L2
431,Band 30
432,Core
433,Sr Software Engineer
434,Intermediate
435,Technology Development Program
436,F
437,IC-3
438,E3A
439,Senior Software Developer
440,Software Eng
441,Sr Advisor
442,Fellow 1
443,O5
444,Sde1
445,PE3
446,Normal
447,Director of Software Eng
448,Software Engineer I
449,icb6-master
450,Band 9
451,Senior Engineering Manager
452,SDE1
453,Sr Engineering Manager
454,Hardware engineer
455,TDP
456,Software Development Manager
457,Senior PM 1
458,G17
459,ML
460,III
461,Executive Director
462,Senior vice president
463,Senior II
464,l1
465,Manager (level 7)
466,Senior Principal Software Engineer
467,Data Science Manager
468,Sr Product Manager
469,Master Software Eng
470,SE4
471,T27
472,Enterprise Technology Analyst
473,zen2
474,SE II
475,PR1
476,L9
477,m3
478,603
479,Staff Software Engineer (IC4)
480,Group Manager
481,MTS III
482,Senior Staff SWE
483,Engineering Manager II
484,Executive Director / Vice-President
485,Expert
486,Forward Deployed Engineer
487,APM1
488,Lead Consultant
489,Assistant vice president
490,Consulting MTS
491,Technical Director
492,PM 1
493,EM
494,IC1
495,Senior Consultant
496,senior staff
497,I
498,Grab 3
499,Manager 2
500,Level 4
501,Principal SDE
502,L66 Principal PM Manager
503,Data Engineer
504,Group Product Manager (GPM)
505,SWE Staff
506,"Senior Director, Development"
507,Managing Director
508,d4
509,New graduate
510,"Eng 2, Software Dev & Engineering"
511,M4
512,TDM2
513,4`
514,Member
515,ZEN2
516,EM2
517,Band 8 backend engineer
518,Senior software engineer
519,I5
520,Java Developer II
521,Senior UX Designer
522,R5
523,Advisory Engineer
524,T24
525,IC-6
526,L6 Product Manager
527,L5a
528,Rotational Product Manager (RPM)
529,Senior II Lead
530,Member of Technical Staff 1
531,Advisory
532,UX Designer
533,sr director
534,Mid level
535,Consultant
536,lmts
537,Designer III
538,0
539,UX Designer II
540,UX Designer III
541,L3 New Grad
542,Engineer I
543,Member of Technical Staff
544,Distinguished Software Engineer
545,Senior Staff Software Engineer
546,Senior Product Designer
547,Sr Director
548,-
549,Product Manager 2
550,G12
551,Sr Engineer (3)
552,software senior engineer
553,Member of the Technical Staff
554,Data Scientist 1
555,T25
556,L4/E3/SDE
557,Senior Software
558,157
559,G3
560,Software Development Engineer (SDE) 1
561,Software team lead
562,Senior 1
563,N
564,PE2
565,SWE IV
566,Software ENG II
567,Specialist
568,5R
569,Solution Principal
570,engineering manager
571,Software Engineer 5
572,T23
573,B4
574,Principal EM
575,SDE Lead
576,l3
577,T26
578,Lead Designer
579,sde1
580,IC-2
581,Technologist 1
582,new grad
583,Staff Software Engineer 1
584,Senior Technical Leader
585,Sr. Engineer Manager
586,Senior consultant
587,Senior Data Scientist
588,P4 (Senior Software Engineer)
589,l6
590,SDE I - New Grad
591,Team lead
592,Principle
593,Associate Product Manager
594,PMTS
595,Tribe Step
596,MTS IV
597,SWE2
598,Advanced
599,25
600,LM
601,Team Leader
602,13
603,Band7
604,sde3
605,ic4
606,Distinguished MTS
607,Mid-level
608,Lead Member of Technical Staff
609,Dev Manager
610,X6
611,L24
612,28
613,Senior Computer Scientist
614,Group Product Line Manager
615,Associate Director
616,Senior Staff Software Architect
617,master
618,X5
619,T1
620,Software Engineer Analyst
621,entry level
622,Senior data scientist
623,15
624,Software Engineer 5.5
625,Senior manager of engineering
626,SE3
627,Director of Engineering
628,Sr. Software Engineer
629,Member of Technical Staff (MTS 1)
630,Senior developer
631,principle
632,Engineer 3
633,G4
634,Member of Technical Staff 3
635,K
636,Member of Technical Staff 2
637,Sde2
638,Product Developer
639,Software Engineering manager
640,Product Engineer 2
641,PM
642,PM I
643,Data Scientist 2
644,Mid Senior
645,Sr.
646,D4
647,G7
648,L4P
649,SDEM4
650,Tech Lead
651,Associate Product Manager (PM)
652,Contractor
653,Group Lead
654,Sales Leader
655,Senior User Experience Designer 1
656,EM 2
657,L3 Executive Director
658,Ic
659,mid
660,Application developer 3
661,Staff Data Scientist
662,SDE II (62)
663,Grade 13
664,PM II
665,24
666,Principal / Architect
667,SWE I
668,Mts 2
669,602
670,Sr UX Designer
671,T3-2
672,Development Manager
673,T2-2
674,MTS2
675,SWE1
676,Software Developer
677,PM 3
678,Ic4
679,Baseline SWE
680,Engineer II
681,SDEIII
682,Core Developer
683,SDE3
684,IC 4
685,t2
686,Designer I
687,MGR1
688,e5
689,Data scientist
690,Senior Software Engineer 2
691,Software development director
692,ict4
693,X8
694,Entry Level
695,Technical Support Engineer 4
696,Software Engineer VIII
697,Sr. Software Engineering Manager
698,Software engineer 1
699,"Research Engineer, Senior"
700,SDE2
701,Manager (L6)
702,PM6
